Dataset,Regularizer,C,PR_AUC_mean,PR_AUC_std
BEED,Elastic Net,0.23357214690901212,0.76413117071724,0.01662898230588632
BEED,Elastic Net,0.615848211066026,0.7649703796467517,0.016652764283042236
BEED,Elastic Net,1.623776739188721,0.7653074251614077,0.01667875700490711
BEED,Elastic Net,4.281332398719396,0.7655015720407722,0.0166990022361673
BEED,Elastic Net,11.288378916846883,0.7655531274265552,0.016711376894205522
BEED,Elastic Net,29.763514416313132,0.7655721762356842,0.016710110796791574
BEED,Elastic Net,78.47599703514607,0.7655867282888018,0.016709908931374303
BEED,Elastic Net,206.913808111479,0.7655869972463982,0.01670940962612814
BEED,Elastic Net,545.5594781168514,0.7655869991902586,0.016709595288949428
BEED,Elastic Net,1438.44988828766,0.7655873026558233,0.016710451041593865
BEED,Elastic Net,3792.690190732246,0.7655873026558233,0.016710451041593865
BEED,Elastic Net,10000.0,0.7655874418998423,0.016710431090701167
Brainwave,L1 (Lasso),0.0001,0.33176875460412747,0.0009900482369189464
Brainwave,L1 (Lasso),0.00026366508987303583,0.33176875460412747,0.0009900482369189464
Brainwave,L1 (Lasso),0.0006951927961775605,0.33176875460412747,0.0009900482369189464
Brainwave,L1 (Lasso),0.0018329807108324356,0.5142861373741187,0.22443516023405305
Brainwave,L1 (Lasso),0.004832930238571752,0.8199654148038773,0.02326800154198915
Brainwave,L1 (Lasso),0.012742749857031334,0.8143132299452803,0.02342037416198128
Brainwave,L1 (Lasso),0.03359818286283781,0.8070783597332595,0.028229463422407987
Brainwave,L1 (Lasso),0.08858667904100823,0.7859330995100283,0.028775916188330586
Brainwave,L1 (Lasso),0.23357214690901212,0.8136876261341905,0.032161554065275676
Brainwave,L1 (Lasso),0.615848211066026,0.8213689911244899,0.028975268412192483
Brainwave,L1 (Lasso),1.623776739188721,0.8323983686251658,0.02241087609273674
Brainwave,L1 (Lasso),4.281332398719396,0.8370298276194144,0.018290085096610658
Brainwave,L1 (Lasso),11.288378916846883,0.8393721660835803,0.016697338049617823
Brainwave,L1 (Lasso),29.763514416313132,0.8397966231292973,0.01610896633469035
Brainwave,L1 (Lasso),78.47599703514607,0.8403749326879627,0.015713240179847064
Brainwave,L1 (Lasso),206.913808111479,0.8401834451127813,0.01588517215348975
Brainwave,L1 (Lasso),545.5594781168514,0.8401070425717219,0.015826577989600608
Brainwave,L1 (Lasso),1438.44988828766,0.8401456492978715,0.01579015003230077
Brainwave,L1 (Lasso),3792.690190732246,0.8401456492978715,0.01579015003230077
Brainwave,L1 (Lasso),10000.0,0.8401456492978715,0.01579015003230077
Brainwave,L2 (Ridge),0.0001,0.8225314806436096,0.030236616964428458
Brainwave,L2 (Ridge),0.00026366508987303583,0.8213767919449116,0.029623817625179658
Brainwave,L2 (Ridge),0.0006951927961775605,0.8198604211728195,0.028613216862811052
Brainwave,L2 (Ridge),0.0018329807108324356,0.8184468648056017,0.027115729404285745
Brainwave,L2 (Ridge),0.004832930238571752,0.8184862869898616,0.02445374673705712
Brainwave,L2 (Ridge),0.012742749857031334,0.8091884727373895,0.024273527477997478
Brainwave,L2 (Ridge),0.03359818286283781,0.7933693160892025,0.03189615919590389
Brainwave,L2 (Ridge),0.08858667904100823,0.7983287227016526,0.03929318397416524
Brainwave,L2 (Ridge),0.23357214690901212,0.8118982933849133,0.037610002446131684
Brainwave,L2 (Ridge),0.615848211066026,0.8222909684430482,0.03352363588616565
Brainwave,L2 (Ridge),1.623776739188721,0.8300698117333349,0.028708457612808363
Brainwave,L2 (Ridge),4.281332398719396,0.836462028430692,0.022419744316631674
Brainwave,L2 (Ridge),11.288378916846883,0.8382586754841931,0.019060282649916205
Brainwave,L2 (Ridge),29.763514416313132,0.839565666788797,0.017954940605996172
Brainwave,L2 (Ridge),78.47599703514607,0.840388113014588,0.016423151399420157
Brainwave,L2 (Ridge),206.913808111479,0.8405500455682491,0.01576573956490307
Brainwave,L2 (Ridge),545.5594781168514,0.8409180914913307,0.015295009825855913
Brainwave,L2 (Ridge),1438.44988828766,0.8408455740633312,0.015000567395610743
Brainwave,L2 (Ridge),3792.690190732246,0.8410984974013445,0.014936843671516726
Brainwave,L2 (Ridge),10000.0,0.8401549540096284,0.016225472023003427
Brainwave,Elastic Net,0.0001,0.33176875460412747,0.0009900482369189464
Brainwave,Elastic Net,0.00026366508987303583,0.33176875460412747,0.0009900482369189464
Brainwave,Elastic Net,0.0006951927961775605,0.6059051268583204,0.22440974997478683
Brainwave,Elastic Net,0.0018329807108324356,0.8200709060916964,0.02918426137173922
Brainwave,Elastic Net,0.004832930238571752,0.8176287718153212,0.0284206830855808
Brainwave,Elastic Net,0.012742749857031334,0.811921746159036,0.027177569646484174
Brainwave,Elastic Net,0.03359818286283781,0.7948767111082358,0.026938135156319435
Brainwave,Elastic Net,0.08858667904100823,0.7939184562432585,0.037936040955225465
Brainwave,Elastic Net,0.23357214690901212,0.8129183049429634,0.035854945740819676
Brainwave,Elastic Net,0.615848211066026,0.8207449666230786,0.029856521679112343
Brainwave,Elastic Net,1.623776739188721,0.8291864296047237,0.029304906444292678
Brainwave,Elastic Net,4.281332398719396,0.8324564548427208,0.02795517859052715
Brainwave,Elastic Net,11.288378916846883,0.8340023228863436,0.027160951764981296
